idd,classid,level,line,eline,priority,kind1,kind2,manalimit,manamin,カード名,content,evolve,bold1,bold2,bold3,bold4,文字カウント,進化文字,f1,f2,マイナスライン,マイナスE,手加えました
22,1,2,2,0,,ファンファーレ,か,11,0,ダンジョンフェアリー,ファンファーレ 自分の他のフォロワー1体か自分のアミュレット1つを手札に戻す。,,ファンファーレ,,,,39,0,,,,,
23,1,2,2,0,,ファンファーレ,か,11,0,森の女王・リザ,ファンファーレ コスト最小のエルフ・フォロワーをランダムに1枚、自分のデッキから手札に加える。,,ファンファーレ,,,,47,0,,,,,
24,1,2,2,0,,ファンファーレ,か,11,0,ルナールツインズ・リナ&レナ,ファンファーレ このターン中に(このカードを含めず)カードを2枚以上プレイしていたなら、進化する。,,ファンファーレ,,,,49,0,,,,,
25,1,2,1,0,,ファンファーレ,か,11,0,天馬のエルフ,ファンファーレ 相手のフォロワー1体の体力を1にする。,,ファンファーレ,,,,27,0,,,,,
26,1,2,1,0,,フェアリーが出るたび,か,11,0,翅を裂く者・メリラ,自分の場にフェアリーが出るたび、それを破壊する。,,フェアリー,,,,24,0,,,,,
27,1,2,2,0,,フェアリーが破壊されるたび,か,11,0,翅を裂く者・メリラ,自分のフェアリーが破壊されるたび、このフォロワーを+1/+1して、相手のリーダーに1ダメージ。,,フェアリー,,,,47,0,,,,,
28,1,2,2,2,,ラストワード,か,11,0,森の女王・リザ,ラストワード 次の自分のターン開始時、コスト最大のエルフ・フォロワーをランダムに1枚、自分のデッキから手札に加える。,ラストワード 次の自分のターン開始時、コスト最大のエルフ・フォロワーをランダムに1枚、自分のデッキから手札に加える。,ラストワード,,,,58,58,,,,,
29,1,2,2,0,1,結晶,か,11,0,悪戯の精霊,結晶 1；カウントダウン 3　自分のターン終了時、フェアリー1枚を手札に加える。,,結晶,カウントダウン,フェアリー,,40,0,,,,,
30,1,2,1,1,,交戦時,か,11,0,天禀の射手・メーテラ,交戦時 カードを1枚引く。,交戦時 カードを1枚引く。,交戦時,,,,13,13,,,,,
31,1,2,0,1,,攻撃時,か,11,0,豊穣の闘士・アイリーネ,,攻撃時 ターン終了まで、このフォロワーへのダメージは0になる。,攻撃時,,,,0,31,,●,,1,
32,1,2,3,3,,攻撃時 ,か,11,0,心読む少女・ミツェル,攻撃時 フォロワーへ攻撃したなら、相手のターン終了時までそのフォロワーの攻撃力を0にして、自分のターン終了時までこのフォロワーの攻撃力を0にする。,攻撃時 フォロワーへ攻撃したなら、相手のターン終了時までそのフォロワーの攻撃力を0にして、自分のターン終了時までこのフォロワーの攻撃力を0にする。,攻撃時,,,,73,73,,,,,
33,1,2,1,1,,守護無視,か,11,0,放浪するエルフ,このフォロワーは守護 を無視して攻撃できる。,このフォロワーは守護 を無視して攻撃できる。,守護,,,,22,22,,,,,
34,1,2,0,3,,進化時,か,11,0,紅弓のエルフ,,進化時 ランダムな相手のフォロワーX体にそれぞれ2ダメージ。Xは「このターン中にカードをプレイした枚数（このカードも含める）」である。（上限は5体）,進化時,,,,0,74,,,,,
35,1,2,0,4,,進化時,か,11,0,慈愛の翅・ティスタ,,進化時 このバトル中、自分のリーダーは「自分のターン中、自分のデッキ以外から手札にフォロワーが加わるたび、そのフォロワーを+1/+1する」を持つ。リーダーはこの能力を重複して持たない。,進化時,,,,0,92,,,,,
36,1,2,0,2,,進化時,か,11,0,天禀の射手・メーテラ,,進化時 相手のフォロワー1体に「自分の手札の枚数」と同じダメージ。,進化時,,,,0,33,,●,,0,
37,1,3,2,0,,コストをマイナス,か,11,0,エルフの執事・ヴィスト,自分が元のコスト6以上のエルフ・フォロワーをプレイするたび、このカードのコストを-3する。,,,,,,45,0,,,,,
38,1,3,2,2,,ターン終了時,か,11,0,千年妖狐・ユエル,自分のターン終了時、ランダムな相手のフォロワー1体に1ダメージ。これを2回行う。,自分のターン終了時、ランダムな相手のフォロワー1体に1ダメージ。これを4回行う。,,,,,40,40,,,,,
39,1,3,3,0,,ファンファーレ,か,11,0,デビルフラワー,ファンファーレ このターン中に（このカードを含めず）カードを2枚以上プレイしていたなら、相手のアミュレット1つを破壊する。,,ファンファーレ,,,,61,0,●,,,,
40,1,3,2,0,,ファンファーレ,か,11,0,エンシェントエルフ,ファンファーレ 自分の他のフォロワーすべてを手札に戻し、戻したフォロワー1体につき+1/+1する。,,ファンファーレ,,,,49,0,,,,,
41,1,3,2,0,,ファンファーレ,か,11,0,沼の精,ファンファーレ 相手のフォロワー1体を、次のターン攻撃不能にする。,,ファンファーレ,,,,33,0,●,,,,
42,1,3,2,0,,ファンファーレ,か,11,0,,ファンファーレ 相手のフォロワー1体を、相手のターン終了まで、-4/-0する。,,ファンファーレ,,,,39,0,,,,,
43,1,3,1,0,,ファンファーレ,か,11,0,不屈のブレイブフェアリー,ファンファーレ 「次に受けるダメージは0になる」を持つ。,,ファンファーレ,,,,28,0,,,,,
44,1,3,2,0,,ファンファーレ,か,11,0,不殺の使徒,ファンファーレ コスト1以下のスペルをランダムに1枚、自分のデッキから手札に加える。,,ファンファーレ,,,,42,0,,,,,
45,1,3,2,0,,ファンファーレ,疾走,11,0,ビートルウォーリアー,ファンファーレ このターン中に（このカードを含めず）カードを2枚以上プレイしていたなら、+1/+1して、疾走 を持つ。,,ファンファーレ,疾走,,,59,0,●,,1,,
46,1,3,1,1,,ラストワード,か,11,0,スピアーエルフ,ラストワード 相手のリーダーに2ダメージ。,ラストワード 相手のリーダーに4ダメージ。,ラストワード,,,,21,21,,,,,
47,1,3,2,2,,交戦時,か,11,0,大魔法の妖精・リラ,交戦時 交戦する相手のフォロワーを破壊し、この交戦時 能力を失う。,交戦時 交戦する相手のフォロワーを破壊し、この交戦時 能力を失う。,交戦時,,,,33,33,●,●,,,
48,1,3,1,1,,攻撃時,か,11,0,狂気のダークエルフ,攻撃時 フェアリー1枚を手札に加える。,攻撃時 フェアリー1枚を手札に加える。,攻撃時,,,,19,19,,,,,
49,1,3,1,1,,場に出るたび,か,11,0,癒しのエルフ,自分の他のフォロワーが場に出るたび、自分のリーダーを1回復。,自分の他のフォロワーが場に出るたび､自分のリーダーを1回復。,,,,,30,30,●,●,1,1,
50,1,3,0,0,,進化する,か,11,0,自分がスペルをプレイしたとき、進化する。,,,,,,,0,0,,,,,
51,1,3,1,0,,他のフォロワーが場に出るたび,か,11,0,大狼,自分の他のフォロワーが場に出るたび、+1/+0する。,,,,,,26,0,,,,,
52,1,3,2,2,,能力で+されたとき,か,11,0,百錬のアーチャー,このフォロワーの攻撃力か体力が能力で+されたとき、ランダムな相手のフォロワー1体に1ダメージ。,このフォロワーの攻撃力か体力が能力で+されたとき、ランダムな相手のフォロワー1体に1ダメージ。,,,,,47,47,,,,,
53,1,4,2,0,,ファンファーレ,か,11,0,ファンファーレ 手札のコスト4以下のエルフ・カード1枚のコストを0にする。,ファンファーレ 手札のコスト4以下のエルフ・カード1枚のコストを0にする。,,ファンファーレ,,,,37,0,,,,,
54,1,4,3,0,,ファンファーレ,か,11,0,ノーブルフェアリー,ファンファーレ このターン中に（このカードを含めず）カードを2枚以上プレイしていたなら、相手のフォロワーすべてを体力1にする。,,ファンファーレ,,,,63,0,,,,,
55,1,4,2,2,,フェアリーが出るたび,か,11,0,妖精の使役者,自分のフェアリーが場に出るたび、それはターン終了まで+1/+0されて、疾走 を持つ。,自分のフェアリーが場に出るたび、それはターン終了まで+1/+0されて、疾走 を持つ。,疾走,フェアリー,,,42,42,,,,,
56,1,4,2,2,2,フェアリーが出るたび,か,11,0,ペタルフェンサー,自分のフェアリーが場に出るたび、@user_nameに変身させる。,自分のフェアリーが場に出るたび、@user_nameに変身させる。,フェアリー,,,@user_name,33,33,●,●,,,
57,1,4,1,1,,フォロワーが場に出るたび,突進付与,11,0,宝石のエルフ,自分の他のフォロワーが場に出るたび、それは突進 を持つ。,自分の他のフォロワーが場に出るたび、それは突進 を持つ。,フォロワーが場に出るたび,突進,,,28,28,,,,,
58,1,4,1,1,,交戦時,か,11,0,木立の精霊・ドリアード,交戦時 交戦する相手のフォロワーを-2/-0する。,交戦時 交戦する相手のフォロワーを-2/-0する。,交戦時,,,,25,25,,,,,
59,1,4,1,1,,交戦時,か,11,0,忌刃鬼,交戦時 相手のフォロワーすべてに1ダメージ。,交戦時 相手のフォロワーすべてに1ダメージ。,交戦時,,,,22,22,,,,,
60,1,4,2,2,,攻撃力か体力が能力で＋されたとき,か,11,0,森の戦士,このフォロワーの攻撃力か体力が能力で＋されたとき、相手のフォロワーすべてに2ダメージ。,このフォロワーの攻撃力か体力が能力で＋されたとき、相手のフォロワーすべてに2ダメージ。,,,,,43,43,,,,,
61,1,4,2,2,,疾走付与,か,11,0,瞬速の大狼,自分が他のフォロワーをプレイしたとき、それは疾走 を持ち、このフォロワーを手札に戻す。,自分が他のフォロワーをプレイしたとき、それは疾走 を持ち、このフォロワーを手札に戻す。,疾走,,,,43,43,,,,,
62,1,4,2,0,,進化する,か,11,0,ホワイトヴァナラ,自分のターン中、このフォロワーの攻撃力か体力が能力で+されたとき、進化する,,,,,,37,0,,,,,
63,1,4,2,2,,相手のフォロワーが攻撃するとき,か,11,0,ロビンフッド,相手のターンに、相手のフォロワーが攻撃するとき、そのフォロワーに1ダメージ。,相手のターンに、相手のフォロワーが攻撃するとき、そのフォロワーに1ダメージ。,,,,,38,38,,,,,
64,1,4,2,2,,破壊されなかったなら,か,11,0,,自分のターン中、相手のフォロワーへ攻撃して破壊し、このフォロワーは破壊されなかったなら、+1/+1する。,自分のターン中、相手のフォロワーへ攻撃して破壊し、このフォロワーは破壊されなかったなら、+1/+1する。,,,,,52,52,,,,,
65,1,5,2,0,,ファンファーレ,か,11,0,フェアリービースト,ファンファーレ 自分のリーダーを「自分の他の手札の枚数」と同じだけ回復。,,ファンファーレ,,,,36,0,,,,,
66,1,5,3,0,,ファンファーレ,か,11,0,マヘス,ファンファーレ このターン中に（このカードを含めず）カードを2枚以上プレイしていたなら、相手のリーダーと相手のフォロワーすべてに2ダメージ。,,ファンファーレ,,,,70,0,,,,,
67,1,5,3,0,,ファンファーレ,か,11,0,マグナボタニスト,ファンファーレ このターン中に（このカードを含めず）カードを2枚以上プレイしていたなら、自分のフォロワーすべてを+1/+1する。,,ファンファーレ,,,,64,0,,,,,
68,1,5,2,0,,ファンファーレ,か,11,0,ブリッツエルフ,ファンファーレ 「自分の手札のフェアリーの枚数」と同じだけ+1/+1する。,,ファンファーレ,フェアリー,,,37,0,,,,,
69,1,5,2,0,,ファンファーレ,か,11,0,フォレストジャイアント,ファンファーレ 相手のフォロワー1体に「自分の他の手札の枚数」と同じダメージ。,,ファンファーレ,,,,39,0,,,,,
70,1,6,3,3,,ターン終了時,か,11,0,森の巫女・パメラ,ターン終了時、このターン中にカードを4枚以上プレイしていたなら、自分の他のフォロワーすべての攻撃力/体力を2倍にして、この能力を失う。,ターン終了時、このターン中にカードを4枚以上プレイしていたなら、自分の他のフォロワーすべての攻撃力/体力を2倍にして、この能力を失う。,,,,,67,67,,,,,
71,1,6,2,0,,ターン終了時,か,11,0,天喰らう異形,自分のターン終了時、このターン中にカードを7枚以上プレイしていたなら、自分の手札のこのフォロワーを+7/+7する。,,,,,,57,0,,,,,
72,1,6,3,0,,ファンファーレ,か,11,0,翠嵐の斧使い,ファンファーレ このバトル中、自分のリーダーは、「自分のターン終了時、このターン中にカードを3枚以上プレイしていたなら、相手のリーダーに2ダメージ」を持つ。,,ファンファーレ,,,,78,0,,,,,
73,1,6,1,0,,ファンファーレ,か,11,0,太古の森神,ファンファーレ 自分の他の手札1枚につき+1/+1する。,,ファンファーレ,,,,28,0,,,,,
74,1,6,2,0,,ファンファーレ,か,11,0,エルフクイーン,ファンファーレ 自分のリーダーを「自分の墓場の枚数」と同じだけ回復して、自分の墓場を0にする。,,ファンファーレ,,,,47,0,,,,,
75,1,6,2,2,,ファンファーレ,か,11,0,エンシェントフォレストドラゴン,ファンファーレ 自分の他のフォロワーすべては、「相手の能力で選択できない」を持つ。,ファンファーレ 自分の他のフォロワーすべては、「相手の能力で選択できない」を持つ。,ファンファーレ,,,,41,41,,,,,
76,1,6,3,0,,ファンファーレ,か,11,0,フォレストアケロウ,ファンファーレ このターン中に（このカードを含めず）カードを2枚以上プレイしていたなら、相手のフォロワーすべてを、次のターン攻撃不能にする。,,ファンファーレ,,,,70,0,,,,,
77,1,7,2,0,,コストを-,か,11,0,煌刃の戦士・ベイル,自分のフォロワーが破壊されるたび、自分の手札のこのカードのコストを-1する。,,,,,,38,0,,,,,
78,1,7,2,0,,ファンファーレ,か,11,0,始祖の大狼・オムニス,ファンファーレ 自分の場の他のカード2枚を手札に戻す。大狼X体を出す。（Xは戻したカードの枚数）,,ファンファーレ,大狼,,,48,0,,,,,
79,1,7,2,0,,ファンファーレ,か,11,0,ローズクイーン,ファンファーレ 手札のフェアリーすべてを、薔薇の一撃に変身させる。,,ファンファーレ,フェアリー,薔薇の一撃,,33,0,●,,0,,
80,1,7,2,0,,ファンファーレ,か,11,0,キングエレファント,ファンファーレ 自分の他のフォロワーすべてを手札に戻す。自分の他の手札1枚につき+1/+1する。,,ファンファーレ,,,,48,0,,,,,
81,1,7,3,3,,ラストワード,か,11,0,古き森の白狼,ラストワード 次の自分のターン開始時、コスト最大のエルフ・カードをランダムに1枚、自分のデッキから手札に加え、そのコストを0にする。,ラストワード 次の自分のターン開始時、コスト最大のエルフ・カードをランダムに1枚、自分のデッキから手札に加え、そのコストを0にする。,ラストワード,,,,66,66,,,,,
82,1,7,5,5,,攻撃時,か,11,0,マシンランスエルフ,攻撃時 フォロワーへ攻撃したなら、ターン終了まで、このフォロワーへのダメージは0になり、相手のリーダーにXダメージ。Xは「このフォロワーの攻撃力から、攻撃する相手のフォロワーの体力を引いた数」である。（その数が0未満なら、ダメージを与えない）,攻撃時 フォロワーへ攻撃したなら、ターン終了まで、このフォロワーへのダメージは0になり、相手のリーダーにXダメージ。Xは「このフォロワーの攻撃力から、攻撃する相手のフォロワーの体力を引いた数」である。（その数が0未満なら、ダメージを与えない）,攻撃時,,,,121,121,,,,,
83,1,8,4,0,,ファンファーレ,か,11,0,ヴォジャノ沼のヌシ,ファンファーレ このバトル中、自分のリーダーは「自分のターン中、場のカードを手札に戻す能力が働くたび、その能力で場を離れたカードの枚数の2倍のダメージを相手のリーダーに与える」を持つ。リーダーはこの能力を重複して持たない。,,ファンファーレ,,,,111,0,,,,,
84,1,8,2,2,,攻撃時,か,11,0,深き森の異形,攻撃時 相手のリーダーを攻撃したなら、相手のリーダーの体力が0になるようにダメージを与える。,攻撃時 相手のリーダーを攻撃したなら、相手のリーダーの体力が0になるようにダメージを与える。,攻撃時,,,,46,46,,,,,
85,1,9,2,0,,ターン終了時,か,11,0,天喰らう異形,自分のターン終了時、自分の手札のこのフォロワーを+X/+Xする。（Xはプレイしたカードの枚数）,,,,,,47,0,,,,,
86,1,9,2,0,,ファンファーレ,か,11,0,白銀の矢,ファンファーレ カードを1枚引く。その後、相手のリーダーか相手のフォロワー1体に「自分の手札の枚数」と同じダメージ。,,ファンファーレ,,,,58,0,,,,,
87,1,10,2,0,,ファンファーレ,か,11,0,不殺の絶傑・エズディア,ファンファーレ 相手のリーダーの体力の最大値を6にする(現在値は6以下ならそのまま)。,,ファンファーレ,,,,43,0,,,,,
88,1,10,2,0,,ファンファーレ,か,11,0,バーストショット,ファンファーレ 相手のリーダーに1ダメージを与える。このバトル中に破壊された自分のフェアリー2体につき+1回行う。,,ファンファーレ,フェアリー,,,57,0,,,,,
89,2,1,2,0,1,アクセラレート,か,11,4,君臨する猛虎,アクセラレート 4；スティールナイト1体とヘヴィーナイト1体とナイト1体を出す。,,アクセラレート,スティールナイト,ヘヴィーナイト,ナイト,40,0,,,,,
90,2,1,1,0,1,アクセラレート,か,11,7,舞い踊る刃・ディオネ,アクセラレート 7； 相手のフォロワーすべてに3ダメージ。,,アクセラレート,,,,29,0,,,,,
91,2,1,1,0,1,アクセラレート,か,11,2,舞い踊る刃・ディオネ,アクセラレート 2； 相手のフォロワー1体に3ダメージ。,,アクセラレート,,,,28,0,,,,,
92,2,1,2,0,1,アクセラレート,か,11,0,ジライヤ,アクセラレート 2； 相手のフォロワー1体の攻撃力/体力を1/1にする。,,アクセラレート,,,,36,0,,,,,
93,2,1,2,0,2,エンハンス,2回攻撃,3,0,レヴィオンの見習い・ルネス,エンハンス 3；「このフォロワーは、1ターンに2回攻撃できる」を持つ。,,エンハンス,,,,35,0,,,,,
94,2,1,2,0,2,エンハンス,2回攻撃,4,0,マスターサムライ,ファンファーレ エンハンス 6； +2/+2して、「このフォロワーは、1ターンに2回攻撃できる」を持つ。,,ファンファーレ,エンハンス,,,52,0,,,,,
95,2,1,1,0,2,エンハンス,か,3,0,マーセナリー・ルシウス,エンハンス 5；相手のフォロワー1体を破壊する。,,エンハンス,,,,24,0,,,,,
96,2,1,2,0,2,エンハンス,か,3,0,クーフーリン,ファンファーレ エンハンス 6； ターン終了まで、必殺 を持つ。ターン終了まで、このフォロワーへのダメージは0になる。,,エンハンス,,,,59,0,●,,1,,
97,2,1,2,0,2,エンハンス,か,3,0,太陽の槍・ルー,エンハンス 4； コスト6以上の指揮官・カードをランダムに1枚、自分のデッキから手札に加える。,,エンハンス,,,,47,0,,,,,
98,2,1,2,0,2,エンハンス,か,4,0,必中の狙撃士・ワルツ,ファンファーレ エンハンス 6; 相手のフォロワー1体か相手のアミュレットひとつを消滅させる。,,エンハンス,,,,47,0,,,,,
99,2,1,2,0,2,エンハンス,か,5,0,レヴィオンヴァンガード・ジェノ,ファンファーレ エンハンス 6； 「ラストワード ナイト2体を出す」を持つ。,,エンハンス,ファンファーレ,ナイト,,38,0,,,,,
100,2,1,1,0,2,エンハンス,必殺,3,0,狼牙の剣士,エンハンス 3；必殺 ,,エンハンス,必殺,,,11,0,,,,,
101,2,1,1,1,,スでプレイするたび,か,11,0,プリンセス,自分がカードをエンハンスでプレイするたび、カードを1枚引く。,自分がカードをエンハンスでプレイするたび、カードを1枚引く。,エンハンス,,,,30,30,●,●,1,1,
102,2,1,1,1,,ターン終了時,か,11,0,傭兵の帰還者,自分のターン終了時、このフォロワーを1回復する。,自分のターン終了時、このフォロワーを1回復する。,,,,,24,24,,,,,
103,2,1,1,0,,ファンファーレ,か,11,0,オースレスナイト,ファンファーレ ナイト1体を出す。,,ファンファーレ,ナイト,,,17,0,,,,,
104,2,1,2,0,,ファンファーレ,か,11,0,ハーゲルベルグの雷槌・トロイア,ファンファーレ 自分の他の手札に指揮官・カードが2枚以上あるなら、+1/+1する。,,ファンファーレ,,,,41,0,,,,,
105,2,1,1,0,,ファンファーレ,潜伏,11,0,歴戦の旅ガエル,ファンファーレ 相手のターン終了まで、潜伏 を持つ。,,ファンファーレ,潜伏,,,26,0,,,,,
106,2,1,2,0,,ファンファーレ,突進,11,0,ハーゲルベルグの雷槌・トロイア,ファンファーレ 自分の他の手札に兵士・カードが2枚以上あるなら、突進 を持つ。,,ファンファーレ,突進,,,39,0,,,,,
107,2,1,1,1,,攻撃されない,か,11,0,飛空の剣士,このフォロワーは攻撃されない。,このフォロワーは攻撃されない。,,,,,15,15,,,,,
108,2,1,1,1,1,疾走,か,11,0,,疾走,疾走,疾走,,,,2,2,,,,,
109,2,1,1,1,1,守護,か,11,0,,守護,守護,守護,,,,2,2,,,,,
110,2,1,2,0,,手札から捨てられた,か,11,0,狂槍のケンタウロス,他のカードの能力で、このカードが手札から捨てられたなら、ランダムな相手のフォロワー1体に1ダメージ。,,,,,,50,0,,,,,
111,2,1,2,0,,場に出たとき,か,11,0,シンデレラ,自分の他のロイヤル・フォロワーが場に出たとき、このフォロワーを手札に戻す。,,,,,,37,0,,,,,
112,2,1,0,2,,進化時,か,11,0,ペルセウス,,進化時 自分の場のロイヤル・フォロワーが4体以上なら、+1/+0して、守護 を持つ。,進化時,,,,0,42,,,,,
113,2,1,0,1,,進化時,か,11,0,白翼の戦神・アイテール,,進化時 自分の他のフォロワーすべてを+0/+1する。,進化時,,,,0,26,,,,,
114,2,1,0,1,,進化時,か,11,0,先陣の騎兵,,進化時 ヘヴィーナイト2体を出す。,進化時,ヘヴィーナイト,,,0,17,,,,,
115,2,2,1,2,,エンハンス,か,11,0,高潔なる大臣,自分がカードをエンハンスでプレイするたび、自分のPPを1回復。,自分がカードをエンハンスでプレイするたび、自分のPPを1回復。,エンハンス,,,,31,31,●,●,1,,
116,2,2,1,0,2,エンハンス,か,3,0,キャノンスマッシャー,ファンファーレ エンハンス 4； プロダクトマシーン2体を出す。,,エンハンス,プロダクトマシーン,,,32,0,●,,1,,
117,2,2,2,2,,カードが出るたび,か,11,0,不屈の兵士,自分の場に指揮官・カードが出るたび、自分のターン終了まで+1/+0する。,自分の場に指揮官・カードが出るたび、自分のターン終了まで+1/+0する。,,,,,36,36,,,,,
118,2,2,2,2,,このフォロワーしか選択,か,11,0,悪魔伯爵・ダリオ,相手は、能力でこのフォロワーを選択できるとき、このフォロワーしか選択できない。,相手は、能力でこのフォロワーを選択できるとき、このフォロワーしか選択できない。,,,,,39,39,,,,,
119,2,2,2,0,,デッキから加わる,か,11,0,紫電の黒豹,自分のターン中、このカードが自分のデッキから手札に加わるとき、公開して、ランダムな自分のフォロワー1体を+1/+0する。,,,,,,60,0,●,,1,,
120,2,2,1,0,,ファンファーレ,か,11,0,プリンセスヴァンガード,ファンファーレ コスト1の自分のフォロワー1体を+1/+0する。,,ファンファーレ,,,,32,0,●,,1,,
121,2,2,2,0,,ファンファーレ,か,11,0,メイドリーダー,ファンファーレ 指揮官・カードをランダムに1枚、自分のデッキから手札に加える。,,ファンファーレ,,,,39,0,,,,,
122,2,2,1,0,,ファンファーレ,か,11,0,マジックディーラー・エルネスタ,ファンファーレ 自分の手札1枚を捨てる。カードを1枚引く。,,ファンファーレ,,,,29,0,,,,,
123,2,2,1,0,,ファンファーレ,か,11,0,ネイビールテナント,ファンファーレ 自分の兵士・フォロワーすべては守護 を持つ。,,ファンファーレ,守護,,,30,0,●,,1,,
124,2,2,2,0,,ファンファーレ,か,11,0,ウェポンディーラー・イルミスナ,ファンファーレ 自分の手札1枚を捨てる。スペルかアミュレットをランダムに1枚、自分のデッキから手札に加える。,,ファンファーレ,,,,54,0,,,,,
125,2,2,1,0,,ファンファーレ,か,11,0,アセンティックナイト,ファンファーレ ヘヴィーナイト1体を出す。,,ファンファーレ,ヘヴィーナイト,,,21,0,,,,,
126,2,2,2,0,,ファンファーレ,守護,11,0,サブリーダー・ゲルト,ファンファーレ 自分の場に指揮官・カードがあるなら、+1/+0して、守護 を持つ。,,ファンファーレ,守護,,,41,0,,,,,
127,2,2,1,1,,フォロワーが破壊されるたび,か,11,0,刃ネズミ,相手のフォロワーが破壊されるたび、+1/+0する。,相手のフォロワーが破壊されるたび、+1/+0する。,,,,,25,25,,,,,
128,2,2,2,2,,交戦時,か,11,0,簒奪の従者,交戦時 +1/+1する。黄金の小剣、黄金の杯、黄金の靴、黄金の首飾りの中から、ランダムに1枚を手札に加える。,交戦時 +1/+1する。黄金の小剣、黄金の杯、黄金の靴、黄金の首飾りの中から、ランダムに1枚を手札に加える。,交戦時,,,,54,54,,,,,
129,2,2,1,1,,攻撃時,か,11,0,ヴァンガード・レイサム,攻撃時 ナイト1体を出す。,攻撃時 ナイト1体を出す。,攻撃時,ナイト,,,13,13,,,,,
